FH77B式155毫米榴弹炮,8
AUF1式155毫米自行榴弹炮,8
厄利空GDF-001式35毫米双管高射炮,8
L-16式迫击炮,8
M1938式122毫米榴弹炮,8
65式37毫米双管高射炮,8
M1高射炮,8
M-68榴弹炮,8
W85式60毫米迫击炮,8
“梅卡”90毫米反坦克炮,8
97式90毫米轻迫击炮,8
“厄利肯”GDF-005高射炮,8
64式120毫米迫击炮,8
MAG58M7.62mm机枪,8
SM-4式120毫米4管迫击炮,8
SUU-16/A 火神 机炮吊舱,8
60式106毫米双管自行无坐力炮,8
索尔塔姆81毫米迫击炮,8
2S4式240毫米自行迫击炮,8
RM70 122毫米火箭炮,8
96式122毫米牵引式榴弹炮,8
2.8cm Granatwerfer迫击炮,8
D-74 122毫米加农炮,8
索尔塔姆M65式120毫米迫击炮,8
CEM-1系列通用武器吊舱,8
休斯34型 机炮吊舱,8
索尔塔姆M66式160毫米迫击炮,8
105毫米6X6轮式装甲突击炮,8
M109L47式榴弹炮,8
2S7式“芍药”加农炮,8
97式81毫米曲射步兵炮,8
“特鲁埃尔”3式140毫米火箭炮,8
M59式155毫米加农炮,8
87式双35自行高炮,8
埃及85mm迫击炮,8
71式100毫米迫击炮,8
“天盾”35阿海德弹炮结合防空武器系统,8
72式85毫米高射炮,8
94式90毫米轻迫击炮,8
JPZ4-5 90毫米自行反坦克炮,8
T-92 40毫米快炮,8
“博福斯”M/36L/60式40毫米高射炮,8
240毫米K3重炮,8
PTZ89式120毫米自行反坦克炮,8
59式130毫米加农炮,8
美国“火神”高射炮,8
M40式106毫米无坐力炮,8
GIAT120毫米坦克炮,8
81式107毫米轮式自行火箭炮,8
M198式榴弹炮,8
XM188E1航空机炮,8
“运动衫”30弹炮结合防空武器系统,8
85式122mm自行榴弹炮,8
KS-19 M2式100毫米高射炮,8
6磅反坦克炮,8
“约克中士”高射炮,8
240毫米自行迫击炮M1975,8
1985式107毫米单管火箭炮,8
DS30B型30毫米舰炮,8
GHN45式155毫米加农榴弹炮,8
Granatwerfer 42迫击炮,8
2A36式“风信子”-B加农炮,8
M114式155毫米榴弹炮,8
XT-69榴弹炮,8
HP-23航空机炮,8
ГШ-23航空机炮,8
Raad-2型155毫米自行火炮,8
2S5式152毫米自行加榴炮,8
“毛瑟”BK27式27毫米航空机关炮,8
105毫米8×8轮式自行突击炮,8
